date;heure;NO2;O3
;;microg/m3;microg/m3
08/11/2008;9;43;6
08/11/2008;10;30;17
08/11/2008;11;31;20
08/11/2008;12;30;25
08/11/2008;13;30;30
08/11/2008;14;26;36
08/11/2008;15;32;33
08/11/2008;16;35;28
08/11/2008;17;38;21
08/11/2008;18;37;23
08/11/2008;19;36;27
08/11/2008;20;30;36
08/11/2008;21;23;40
08/11/2008;22;19;41
08/11/2008;23;17;42
08/11/2008;24;14;48
09/11/2008;1;12;49
09/11/2008;2;10;50
09/11/2008;3;9;52
09/11/2008;4;8;51
09/11/2008;5;8;64
09/11/2008;6;16;55
09/11/2008;7;24;45
09/11/2008;8;37;31
09/11/2008;9;34;35
09/11/2008;10;25;43
09/11/2008;11;18;51
09/11/2008;12;17;52
09/11/2008;13;16;55
09/11/2008;14;17;55
09/11/2008;15;23;46
09/11/2008;16;29;40
09/11/2008;17;41;24
09/11/2008;18;45;23
09/11/2008;19;39;33
09/11/2008;20;31;35
09/11/2008;21;23;40
09/11/2008;22;18;47
09/11/2008;23;13;52
09/11/2008;24;11;54
10/11/2008;1;10;54
10/11/2008;2;8;56
10/11/2008;3;7;56
10/11/2008;4;9;53
10/11/2008;5;11;47
10/11/2008;6;17;41
10/11/2008;7;27;32
10/11/2008;8;32;28
10/11/2008;9;31;28
10/11/2008;10;30;28
10/11/2008;11;23;38
10/11/2008;12;20;37
10/11/2008;13;23;33
10/11/2008;14;21;40
10/11/2008;15;24;37
10/11/2008;16;25;35
10/11/2008;17;25;34
10/11/2008;18;23;36
10/11/2008;19;21;38
10/11/2008;20;17;42
10/11/2008;21;13;45
10/11/2008;22;11;48
10/11/2008;23;11;47
10/11/2008;24;11;47
11/11/2008;1;10;47
11/11/2008;2;10;48
11/11/2008;3;7;52
11/11/2008;4;7;61
11/11/2008;5;9;72
11/11/2008;6;12;67
11/11/2008;7;14;64
11/11/2008;8;13;61
11/11/2008;9;14;56
11/11/2008;10;12;57
11/11/2008;11;13;55
11/11/2008;12;12;58
11/11/2008;13;11;58
11/11/2008;14;13;54
11/11/2008;15;18;49
11/11/2008;16;20;46
11/11/2008;17;31;33
11/11/2008;18;34;33
11/11/2008;19;39;24
11/11/2008;20;43;17
11/11/2008;21;31;29
11/11/2008;22;26;34
11/11/2008;23;32;29
11/11/2008;24;27;31
12/11/2008;1;26;27
12/11/2008;2;22;24
12/11/2008;3;24;19
12/11/2008;4;17;26
12/11/2008;5;21;25
12/11/2008;6;29;24
12/11/2008;7;43;14
12/11/2008;8;57;5
12/11/2008;9;49;13
12/11/2008;10;35;27
12/11/2008;11;38;22
12/11/2008;12;32;30
12/11/2008;13;30;31
12/11/2008;14;44;21
12/11/2008;15;37;28
12/11/2008;16;45;22
12/11/2008;17;59;7
12/11/2008;18;81;0
12/11/2008;19;90;0
12/11/2008;20;77;0
12/11/2008;21;85;0
12/11/2008;22;84;0
12/11/2008;23;67;0
12/11/2008;24;64;0
13/11/2008;1;61;0
13/11/2008;2;61;0
13/11/2008;3;58;0
13/11/2008;4;53;1
13/11/2008;5;51;1
13/11/2008;6;54;0
13/11/2008;7;61;0
13/11/2008;8;75;0
13/11/2008;9;70;0
13/11/2008;10;87;0
13/11/2008;11;66;6
13/11/2008;12;56;13
13/11/2008;13;43;26
13/11/2008;14;48;24
13/11/2008;15;60;13
13/11/2008;16;48;21
13/11/2008;17;63;6
13/11/2008;18;80;0
13/11/2008;19;80;0
13/11/2008;20;104;0
13/11/2008;21;97;0
13/11/2008;22;80;0
13/11/2008;23;70;0
13/11/2008;24;72;0
14/11/2008;1;70;0
14/11/2008;2;62;0
14/11/2008;3;59;0
14/11/2008;4;55;0
14/11/2008;5;54;0
14/11/2008;6;55;0
14/11/2008;7;65;0
14/11/2008;8;64;0
14/11/2008;9;66;0
14/11/2008;10;61;0
14/11/2008;11;53;1
14/11/2008;12;49;3
14/11/2008;13;45;3
14/11/2008;14;47;1
14/11/2008;15;47;1
14/11/2008;16;55;0
14/11/2008;17;56;0
14/11/2008;18;59;0
14/11/2008;19;60;0
14/11/2008;20;59;0
14/11/2008;21;54;0
14/11/2008;22;48;0
14/11/2008;23;43;0
14/11/2008;24;43;0
15/11/2008;1;40;0
15/11/2008;2;38;0
15/11/2008;3;37;0
15/11/2008;4;36;0
15/11/2008;5;40;0
15/11/2008;6;35;13
15/11/2008;7;36;14
15/11/2008;8;54;4
15/11/2008;9;60;5
15/11/2008;10;60;7
15/11/2008;11;57;10
15/11/2008;12;56;9
15/11/2008;13;55;10
15/11/2008;14;49;13
15/11/2008;15;44;20
15/11/2008;16;42;20
15/11/2008;17;48;17
15/11/2008;18;52;13
15/11/2008;19;51;15
15/11/2008;20;40;24
15/11/2008;21;45;17
15/11/2008;22;40;21
15/11/2008;23;39;20
15/11/2008;24;36;21
16/11/2008;1;37;24
16/11/2008;2;35;23
16/11/2008;3;40;17
16/11/2008;4;31;24
16/11/2008;5;25;29
16/11/2008;6;25;29
16/11/2008;7;28;29
16/11/2008;8;29;35
16/11/2008;9;24;36
16/11/2008;10;22;36
16/11/2008;11;23;38
16/11/2008;12;22;35
16/11/2008;13;27;33
16/11/2008;14;30;34
16/11/2008;15;29;40
16/11/2008;16;31;35
16/11/2008;17;36;31
16/11/2008;18;39;28
16/11/2008;19;42;26
16/11/2008;20;35;27
16/11/2008;21;35;26
16/11/2008;22;24;37
16/11/2008;23;25;30
16/11/2008;24;22;34
17/11/2008;1;20;34
17/11/2008;2;14;39
17/11/2008;3;15;36
17/11/2008;4;18;33
17/11/2008;5;20;34
17/11/2008;6;28;22
17/11/2008;7;32;25
17/11/2008;8;47;14
17/11/2008;9;52;14
17/11/2008;10;47;22
17/11/2008;11;36;35
17/11/2008;12;29;49
17/11/2008;13;21;55
17/11/2008;14;29;47
17/11/2008;15;42;34
17/11/2008;16;57;19
17/11/2008;17;66;11
17/11/2008;18;67;9
17/11/2008;19;80;1
17/11/2008;20;89;0
17/11/2008;21;89;0
17/11/2008;22;81;0
17/11/2008;23;69;1
17/11/2008;24;60;1
18/11/2008;1;47;5
18/11/2008;2;43;3
18/11/2008;3;37;5
18/11/2008;4;29;11
18/11/2008;5;42;1
18/11/2008;6;53;0
18/11/2008;7;58;0
18/11/2008;8;61;0
18/11/2008;9;64;0
18/11/2008;10;60;2
18/11/2008;11;58;4
18/11/2008;12;56;6
18/11/2008;13;56;9
18/11/2008;14;56;8
18/11/2008;15;61;5
18/11/2008;16;56;8
18/11/2008;17;58;5
18/11/2008;18;54;7
18/11/2008;19;49;9
18/11/2008;20;50;7
18/11/2008;21;33;30
18/11/2008;22;26;41
18/11/2008;23;25;39
18/11/2008;24;28;36
19/11/2008;1;32;36
19/11/2008;2;26;38
19/11/2008;3;26;33
19/11/2008;4;26;30
19/11/2008;5;30;21
19/11/2008;6;48;5
19/11/2008;7;61;0
19/11/2008;8;80;0
19/11/2008;9;81;1
19/11/2008;10;72;2
19/11/2008;11;62;4
19/11/2008;12;n/d;n/d
19/11/2008;13;n/d;n/d
19/11/2008;14;48;n/d
19/11/2008;15;51;n/d
19/11/2008;16;48;n/d
19/11/2008;17;63;n/d
19/11/2008;18;61;n/d
19/11/2008;19;60;n/d
19/11/2008;20;58;n/d
19/11/2008;21;49;n/d
19/11/2008;22;40;n/d
19/11/2008;23;32;n/d
19/11/2008;24;25;n/d
20/11/2008;1;25;n/d
20/11/2008;2;25;n/d
20/11/2008;3;29;n/d
20/11/2008;4;20;n/d
20/11/2008;5;19;n/d
20/11/2008;6;27;n/d
20/11/2008;7;41;n/d
20/11/2008;8;53;n/d
20/11/2008;9;58;n/d
20/11/2008;10;58;n/d
20/11/2008;11;49;n/d
20/11/2008;12;43;n/d
20/11/2008;13;43;n/d
20/11/2008;14;44;n/d
20/11/2008;15;47;n/d
20/11/2008;16;45;n/d
20/11/2008;17;50;n/d
20/11/2008;18;52;n/d
20/11/2008;19;44;n/d
20/11/2008;20;40;n/d
20/11/2008;21;30;n/d
20/11/2008;22;26;n/d
20/11/2008;23;23;n/d
20/11/2008;24;24;n/d
21/11/2008;1;18;n/d
21/11/2008;2;16;n/d
21/11/2008;3;14;n/d
21/11/2008;4;11;n/d
21/11/2008;5;13;n/d
21/11/2008;6;24;n/d
21/11/2008;7;37;n/d
21/11/2008;8;52;n/d
21/11/2008;9;49;n/d
21/11/2008;10;42;n/d
21/11/2008;11;49;n/d
21/11/2008;12;36;n/d
21/11/2008;13;32;n/d
21/11/2008;14;30;n/d
21/11/2008;15;38;n/d
21/11/2008;16;37;n/d
21/11/2008;17;45;n/d
21/11/2008;18;38;n/d
21/11/2008;19;46;n/d
21/11/2008;20;39;n/d
21/11/2008;21;29;n/d
21/11/2008;22;20;n/d
21/11/2008;23;20;n/d
21/11/2008;24;22;n/d
22/11/2008;1;22;n/d
22/11/2008;2;18;n/d
22/11/2008;3;17;n/d
22/11/2008;4;18;n/d
22/11/2008;5;21;n/d
22/11/2008;6;25;n/d
22/11/2008;7;33;n/d
22/11/2008;8;46;n/d
22/11/2008;9;42;n/d
22/11/2008;10;35;n/d
22/11/2008;11;26;n/d
22/11/2008;12;24;n/d
22/11/2008;13;21;n/d
22/11/2008;14;18;n/d
22/11/2008;15;23;n/d
22/11/2008;16;28;n/d
22/11/2008;17;36;n/d
22/11/2008;18;42;n/d
22/11/2008;19;48;n/d
22/11/2008;20;45;n/d
22/11/2008;21;40;n/d
22/11/2008;22;37;n/d
22/11/2008;23;36;n/d
22/11/2008;24;36;n/d
23/11/2008;1;36;n/d
23/11/2008;2;36;n/d
23/11/2008;3;32;n/d
23/11/2008;4;36;n/d
23/11/2008;5;49;n/d
23/11/2008;6;56;n/d
23/11/2008;7;61;n/d
23/11/2008;8;65;n/d
23/11/2008;9;53;n/d
23/11/2008;10;49;n/d
23/11/2008;11;43;n/d
23/11/2008;12;33;n/d
23/11/2008;13;33;n/d
23/11/2008;14;32;n/d
23/11/2008;15;32;n/d
23/11/2008;16;32;n/d
23/11/2008;17;40;n/d
23/11/2008;18;36;n/d
23/11/2008;19;43;n/d
23/11/2008;20;58;n/d
23/11/2008;21;40;n/d
23/11/2008;22;22;n/d
23/11/2008;23;20;n/d
23/11/2008;24;17;n/d
24/11/2008;1;18;n/d
24/11/2008;2;15;n/d
24/11/2008;3;16;n/d
24/11/2008;4;28;n/d
24/11/2008;5;21;n/d
24/11/2008;6;32;n/d
24/11/2008;7;52;n/d
24/11/2008;8;61;n/d
24/11/2008;9;56;n/d
24/11/2008;10;54;n/d
24/11/2008;11;51;n/d
24/11/2008;12;n/d;n/d
24/11/2008;13;49;n/d
24/11/2008;14;n/d;n/d
24/11/2008;15;51;n/d
24/11/2008;16;54;n/d
24/11/2008;17;70;n/d
24/11/2008;18;68;n/d
24/11/2008;19;48;n/d
24/11/2008;20;44;n/d
24/11/2008;21;38;n/d
24/11/2008;22;31;n/d
24/11/2008;23;37;n/d
24/11/2008;24;44;n/d
25/11/2008;1;47;n/d
25/11/2008;2;48;n/d
25/11/2008;3;49;n/d
25/11/2008;4;45;n/d
25/11/2008;5;47;n/d
25/11/2008;6;52;n/d
25/11/2008;7;64;n/d
25/11/2008;8;78;n/d
25/11/2008;9;74;n/d
25/11/2008;10;74;n/d
25/11/2008;11;53;n/d
25/11/2008;12;42;n/d
25/11/2008;13;44;n/d
25/11/2008;14;47;n/d
25/11/2008;15;48;n/d
25/11/2008;16;49;n/d
25/11/2008;17;60;n/d
25/11/2008;18;53;n/d
25/11/2008;19;48;n/d
25/11/2008;20;49;n/d
25/11/2008;21;48;n/d
25/11/2008;22;53;n/d
25/11/2008;23;51;n/d
25/11/2008;24;49;n/d
26/11/2008;1;45;n/d
26/11/2008;2;39;n/d
26/11/2008;3;37;n/d
26/11/2008;4;35;n/d
26/11/2008;5;36;n/d
26/11/2008;6;48;n/d
26/11/2008;7;59;n/d
26/11/2008;8;63;n/d
26/11/2008;9;62;n/d
26/11/2008;10;52;n/d
26/11/2008;11;48;n/d
26/11/2008;12;50;n/d
26/11/2008;13;57;n/d
26/11/2008;14;67;n/d
26/11/2008;15;74;n/d
26/11/2008;16;72;n/d
26/11/2008;17;66;n/d
26/11/2008;18;75;n/d
26/11/2008;19;77;n/d
26/11/2008;20;76;n/d
26/11/2008;21;75;n/d
26/11/2008;22;69;n/d
26/11/2008;23;64;n/d
26/11/2008;24;60;n/d
27/11/2008;1;58;n/d
27/11/2008;2;53;n/d
27/11/2008;3;50;n/d
27/11/2008;4;48;n/d
27/11/2008;5;51;n/d
27/11/2008;6;54;n/d
27/11/2008;7;58;n/d
27/11/2008;8;56;n/d
27/11/2008;9;58;n/d
27/11/2008;10;54;n/d
27/11/2008;11;52;n/d
27/11/2008;12;48;n/d
27/11/2008;13;52;n/d
27/11/2008;14;54;n/d
27/11/2008;15;54;n/d
27/11/2008;16;60;n/d
27/11/2008;17;63;1
27/11/2008;18;53;8
27/11/2008;19;55;6
27/11/2008;20;59;2
27/11/2008;21;52;2
27/11/2008;22;40;6
27/11/2008;23;34;5
27/11/2008;24;32;6
28/11/2008;1;31;7
28/11/2008;2;30;6
28/11/2008;3;30;6
28/11/2008;4;31;6
28/11/2008;5;36;3
28/11/2008;6;39;2
28/11/2008;7;45;2
28/11/2008;8;59;0
28/11/2008;9;56;2
28/11/2008;10;49;4
28/11/2008;11;46;4
28/11/2008;12;41;6
28/11/2008;13;44;5
28/11/2008;14;48;4
28/11/2008;15;49;5
28/11/2008;16;50;5
28/11/2008;17;54;2
28/11/2008;18;61;1
28/11/2008;19;59;2
28/11/2008;20;60;1
28/11/2008;21;58;0
28/11/2008;22;53;1
28/11/2008;23;49;1
28/11/2008;24;46;1
29/11/2008;1;41;3
29/11/2008;2;36;8
29/11/2008;3;30;14
29/11/2008;4;32;13
29/11/2008;5;34;12
29/11/2008;6;39;11
29/11/2008;7;38;11
29/11/2008;8;39;11
29/11/2008;9;43;7
29/11/2008;10;41;10
29/11/2008;11;43;11
29/11/2008;12;43;11
29/11/2008;13;44;13
29/11/2008;14;40;22
29/11/2008;15;43;21
29/11/2008;16;54;14
29/11/2008;17;56;8
29/11/2008;18;53;5
29/11/2008;19;50;7
29/11/2008;20;49;6
29/11/2008;21;42;5
29/11/2008;22;42;4
29/11/2008;23;37;5
29/11/2008;24;36;6
30/11/2008;1;33;8
30/11/2008;2;40;6
30/11/2008;3;44;0
30/11/2008;4;46;0
30/11/2008;5;42;5
30/11/2008;6;41;6
30/11/2008;7;30;10
30/11/2008;8;29;6
30/11/2008;9;32;8
30/11/2008;10;36;9
30/11/2008;11;40;14
30/11/2008;12;39;26
30/11/2008;13;37;29
30/11/2008;14;40;27
30/11/2008;15;44;22
30/11/2008;16;44;24
30/11/2008;17;41;24
30/11/2008;18;47;17
30/11/2008;19;47;12
30/11/2008;20;37;11
30/11/2008;21;33;5
30/11/2008;22;34;2
30/11/2008;23;34;2
30/11/2008;24;33;2
01/12/2008;1;34;1
01/12/2008;2;36;0
01/12/2008;3;34;1
01/12/2008;4;27;7
01/12/2008;5;27;5
01/12/2008;6;33;1
01/12/2008;7;40;0
01/12/2008;8;49;0
01/12/2008;9;50;0
01/12/2008;10;48;0
01/12/2008;11;46;2
01/12/2008;12;44;2
01/12/2008;13;43;6
01/12/2008;14;47;8
01/12/2008;15;54;4
01/12/2008;16;57;1
01/12/2008;17;58;3
01/12/2008;18;57;5
01/12/2008;19;53;9
01/12/2008;20;46;16
01/12/2008;21;42;20
01/12/2008;22;41;20
01/12/2008;23;47;12
01/12/2008;24;45;15
02/12/2008;1;41;16
02/12/2008;2;37;19
02/12/2008;3;47;7
02/12/2008;4;41;12
02/12/2008;5;38;13
02/12/2008;6;41;12
02/12/2008;7;46;9
02/12/2008;8;58;3
02/12/2008;9;57;6
02/12/2008;10;52;11
02/12/2008;11;50;13
02/12/2008;12;37;28
02/12/2008;13;28;40
02/12/2008;14;33;36
02/12/2008;15;33;35
02/12/2008;16;44;22
02/12/2008;17;61;8
02/12/2008;18;53;13
02/12/2008;19;47;17
02/12/2008;20;39;22
02/12/2008;21;33;25
02/12/2008;22;28;31
02/12/2008;23;22;38
02/12/2008;24;14;49
03/12/2008;1;13;49
03/12/2008;2;15;48
03/12/2008;3;14;47
03/12/2008;4;16;44
03/12/2008;5;23;37
03/12/2008;6;39;24
03/12/2008;7;52;14
03/12/2008;8;66;4
03/12/2008;9;64;5
03/12/2008;10;73;2
03/12/2008;11;72;2
03/12/2008;12;55;12
03/12/2008;13;48;25
03/12/2008;14;48;25
03/12/2008;15;n/d;n/d
03/12/2008;16;n/d;n/d
03/12/2008;17;50;20
03/12/2008;18;61;10
03/12/2008;19;60;11
03/12/2008;20;60;10
03/12/2008;21;67;3
03/12/2008;22;84;2
03/12/2008;23;89;2
03/12/2008;24;83;1
04/12/2008;1;78;0
04/12/2008;2;68;0
04/12/2008;3;60;0
04/12/2008;4;60;0
04/12/2008;5;62;0
04/12/2008;6;59;0
04/12/2008;7;57;0
04/12/2008;8;56;1
04/12/2008;9;56;6
04/12/2008;10;52;10
04/12/2008;11;51;11
04/12/2008;12;46;20
04/12/2008;13;37;32
04/12/2008;14;44;30
04/12/2008;15;49;25
04/12/2008;16;73;9
04/12/2008;17;86;3
04/12/2008;18;81;4
04/12/2008;19;86;1
04/12/2008;20;84;3
04/12/2008;21;61;13
04/12/2008;22;40;31
04/12/2008;23;28;40
04/12/2008;24;30;36
05/12/2008;1;21;45
05/12/2008;2;20;43
05/12/2008;3;17;45
05/12/2008;4;16;44
05/12/2008;5;19;40
05/12/2008;6;31;31
05/12/2008;7;42;23
05/12/2008;8;53;15
05/12/2008;9;47;20
05/12/2008;10;49;18
05/12/2008;11;42;26
05/12/2008;12;32;39
05/12/2008;13;34;38
05/12/2008;14;29;46
05/12/2008;15;32;42
05/12/2008;16;36;39
05/12/2008;17;44;31
05/12/2008;18;53;20
05/12/2008;19;53;20
05/12/2008;20;46;23
05/12/2008;21;43;22
05/12/2008;22;41;21
05/12/2008;23;32;27
05/12/2008;24;23;35
06/12/2008;1;20;38
06/12/2008;2;17;42
06/12/2008;3;13;49
06/12/2008;4;13;47
06/12/2008;5;18;41
06/12/2008;6;25;30
06/12/2008;7;29;22
06/12/2008;8;30;14
06/12/2008;9;34;7
06/12/2008;10;34;9
06/12/2008;11;32;12
06/12/2008;12;31;19
06/12/2008;13;31;23
06/12/2008;14;33;20
06/12/2008;15;35;18
06/12/2008;16;41;14
06/12/2008;17;49;7
06/12/2008;18;52;5
06/12/2008;19;52;4
06/12/2008;20;54;3
06/12/2008;21;55;0
06/12/2008;22;51;3
06/12/2008;23;54;1
06/12/2008;24;53;0
07/12/2008;1;48;2
07/12/2008;2;42;10
07/12/2008;3;34;16
07/12/2008;4;32;20
07/12/2008;5;35;16
07/12/2008;6;34;14
07/12/2008;7;44;3
07/12/2008;8;48;1
07/12/2008;9;46;6
07/12/2008;10;49;4
07/12/2008;11;49;7
07/12/2008;12;47;10
07/12/2008;13;53;10
07/12/2008;14;54;8
07/12/2008;15;49;6
07/12/2008;16;45;8
07/12/2008;17;40;10
07/12/2008;18;35;13
07/12/2008;19;32;15
07/12/2008;20;36;9
07/12/2008;21;32;15
07/12/2008;22;28;22
07/12/2008;23;30;16
07/12/2008;24;36;9
08/12/2008;1;35;9
08/12/2008;2;27;16
08/12/2008;3;31;12
08/12/2008;4;28;13
08/12/2008;5;31;9
08/12/2008;6;40;2
08/12/2008;7;44;0
08/12/2008;8;46;0
08/12/2008;9;47;2
08/12/2008;10;44;3
08/12/2008;11;43;5
08/12/2008;12;39;9
08/12/2008;13;42;6
08/12/2008;14;49;5
08/12/2008;15;53;2
08/12/2008;16;50;1
08/12/2008;17;48;1
08/12/2008;18;47;2
08/12/2008;19;49;2
08/12/2008;20;47;2
08/12/2008;21;41;6
08/12/2008;22;38;11
08/12/2008;23;28;17
08/12/2008;24;28;16
09/12/2008;1;24;22
09/12/2008;2;20;26
09/12/2008;3;19;26
09/12/2008;4;26;19
09/12/2008;5;25;22
09/12/2008;6;36;10
09/12/2008;7;48;1
09/12/2008;8;53;0
09/12/2008;9;56;1
09/12/2008;10;51;4
09/12/2008;11;51;3
09/12/2008;12;56;1
09/12/2008;13;54;0
09/12/2008;14;51;1
09/12/2008;15;54;0
09/12/2008;16;56;0
09/12/2008;17;64;0
09/12/2008;18;73;0
09/12/2008;19;78;0
09/12/2008;20;77;0
09/12/2008;21;73;0
09/12/2008;22;67;0
09/12/2008;23;65;0
09/12/2008;24;59;2
10/12/2008;1;56;5
10/12/2008;2;48;8
10/12/2008;3;46;9
10/12/2008;4;43;9
10/12/2008;5;45;8
10/12/2008;6;53;4
10/12/2008;7;64;0
10/12/2008;8;71;0
10/12/2008;9;75;1
10/12/2008;10;65;3
10/12/2008;11;63;7
10/12/2008;12;59;11
10/12/2008;13;55;15
10/12/2008;14;53;13
10/12/2008;15;55;10
10/12/2008;16;57;7
10/12/2008;17;61;4
10/12/2008;18;61;4
10/12/2008;19;62;4
10/12/2008;20;64;2
10/12/2008;21;60;5
10/12/2008;22;60;4
10/12/2008;23;67;1
10/12/2008;24;64;0
11/12/2008;1;65;0
11/12/2008;2;57;0
11/12/2008;3;58;0
11/12/2008;4;57;1
11/12/2008;5;56;0
11/12/2008;6;63;0
11/12/2008;7;75;0
11/12/2008;8;82;0
11/12/2008;9;90;0
11/12/2008;10;94;2
11/12/2008;11;79;2
11/12/2008;12;76;3
11/12/2008;13;61;8
11/12/2008;14;52;11
11/12/2008;15;53;10
11/12/2008;16;62;3
11/12/2008;17;72;0
11/12/2008;18;77;0
11/12/2008;19;81;0
11/12/2008;20;63;0
11/12/2008;21;52;0
11/12/2008;22;48;1
11/12/2008;23;45;3
11/12/2008;24;42;5
12/12/2008;1;37;12
12/12/2008;2;35;12
12/12/2008;3;35;12
12/12/2008;4;35;13
12/12/2008;5;37;11
12/12/2008;6;53;1
12/12/2008;7;60;0
12/12/2008;8;58;1
12/12/2008;9;55;2
12/12/2008;10;54;2
12/12/2008;11;56;4
12/12/2008;12;50;9
12/12/2008;13;49;10
12/12/2008;14;51;11
12/12/2008;15;54;8
12/12/2008;16;55;5
12/12/2008;17;56;4
12/12/2008;18;60;1
12/12/2008;19;58;2
12/12/2008;20;53;6
12/12/2008;21;47;9
12/12/2008;22;42;12
12/12/2008;23;33;19
12/12/2008;24;27;26
13/12/2008;1;22;28
13/12/2008;2;23;27
13/12/2008;3;24;23
13/12/2008;4;28;18
13/12/2008;5;29;17
13/12/2008;6;30;17
13/12/2008;7;32;16
13/12/2008;8;28;17
13/12/2008;9;29;16
13/12/2008;10;29;18
13/12/2008;11;27;23
13/12/2008;12;29;25
13/12/2008;13;32;22
13/12/2008;14;39;17
13/12/2008;15;38;19
13/12/2008;16;38;20
13/12/2008;17;42;18
13/12/2008;18;45;15
13/12/2008;19;45;17
13/12/2008;20;47;18
13/12/2008;21;38;24
13/12/2008;22;42;20
13/12/2008;23;37;21
13/12/2008;24;35;20
14/12/2008;1;43;13
14/12/2008;2;36;17
14/12/2008;3;32;18
14/12/2008;4;29;19
14/12/2008;5;27;18
14/12/2008;6;33;11
14/12/2008;7;32;13
14/12/2008;8;35;10
14/12/2008;9;39;8
14/12/2008;10;42;8
14/12/2008;11;46;8
14/12/2008;12;40;10
14/12/2008;13;47;6
14/12/2008;14;47;6
14/12/2008;15;47;4
14/12/2008;16;46;3
14/12/2008;17;44;1
14/12/2008;18;46;0
14/12/2008;19;48;0
14/12/2008;20;44;0
14/12/2008;21;46;0
14/12/2008;22;43;0
14/12/2008;23;42;0
14/12/2008;24;40;0
15/12/2008;1;39;0
15/12/2008;2;36;0
15/12/2008;3;38;0
15/12/2008;4;38;0
15/12/2008;5;43;0
15/12/2008;6;46;0
15/12/2008;7;53;0
15/12/2008;8;61;0
15/12/2008;9;57;1
15/12/2008;10;53;2
15/12/2008;11;55;2
15/12/2008;12;52;3
15/12/2008;13;50;2
15/12/2008;14;47;2
15/12/2008;15;46;1
15/12/2008;16;46;0
15/12/2008;17;45;0
15/12/2008;18;49;0
15/12/2008;19;47;0
15/12/2008;20;48;0
15/12/2008;21;46;0
15/12/2008;22;47;0
15/12/2008;23;46;0
15/12/2008;24;46;0
16/12/2008;1;43;0
16/12/2008;2;42;0
16/12/2008;3;42;0
16/12/2008;4;42;0
16/12/2008;5;42;0
16/12/2008;6;46;0
16/12/2008;7;51;0
16/12/2008;8;53;0
16/12/2008;9;54;0
16/12/2008;10;51;0
16/12/2008;11;55;0
16/12/2008;12;57;1
16/12/2008;13;62;1
16/12/2008;14;63;0
16/12/2008;15;58;0
16/12/2008;16;55;0
16/12/2008;17;55;0
16/12/2008;18;56;0
16/12/2008;19;58;0
16/12/2008;20;62;0
16/12/2008;21;65;0
16/12/2008;22;63;0
16/12/2008;23;57;0
16/12/2008;24;53;0
17/12/2008;1;48;0
17/12/2008;2;48;0
17/12/2008;3;48;0
17/12/2008;4;47;0
17/12/2008;5;48;0
17/12/2008;6;49;0
17/12/2008;7;52;0
17/12/2008;8;54;0
17/12/2008;9;54;0
17/12/2008;10;60;0
17/12/2008;11;53;0
17/12/2008;12;55;0
17/12/2008;13;58;0
17/12/2008;14;62;0
17/12/2008;15;68;0
17/12/2008;16;n/d;n/d
17/12/2008;17;78;0
17/12/2008;18;81;0
17/12/2008;19;82;0
17/12/2008;20;82;0
17/12/2008;21;76;0
17/12/2008;22;71;1
17/12/2008;23;70;0
17/12/2008;24;66;0
18/12/2008;1;66;0
18/12/2008;2;69;0
18/12/2008;3;69;0
18/12/2008;4;65;0
18/12/2008;5;65;0
18/12/2008;6;71;0
18/12/2008;7;82;0
18/12/2008;8;89;0
18/12/2008;9;100;0
18/12/2008;10;97;1
18/12/2008;11;96;0
18/12/2008;12;82;0
18/12/2008;13;82;0
18/12/2008;14;80;0
18/12/2008;15;80;0
18/12/2008;16;72;0
18/12/2008;17;70;0
18/12/2008;18;82;0
18/12/2008;19;82;0
18/12/2008;20;64;1
18/12/2008;21;49;8
18/12/2008;22;40;15
18/12/2008;23;33;20
18/12/2008;24;31;24
19/12/2008;1;26;28
19/12/2008;2;25;27
19/12/2008;3;23;30
19/12/2008;4;20;33
19/12/2008;5;22;33
19/12/2008;6;35;20
19/12/2008;7;60;3
19/12/2008;8;65;5
19/12/2008;9;61;10
19/12/2008;10;58;15
19/12/2008;11;51;23
19/12/2008;12;42;30
19/12/2008;13;44;28
19/12/2008;14;44;31
19/12/2008;15;44;28
19/12/2008;16;54;18
19/12/2008;17;70;4
19/12/2008;18;77;0
19/12/2008;19;94;0
19/12/2008;20;77;1
19/12/2008;21;71;1
19/12/2008;22;67;2
19/12/2008;23;54;11
19/12/2008;24;50;14
20/12/2008;1;48;13
20/12/2008;2;32;29
20/12/2008;3;25;29
20/12/2008;4;37;16
20/12/2008;5;39;13
20/12/2008;6;54;5
20/12/2008;7;49;11
20/12/2008;8;29;36
20/12/2008;9;47;14
20/12/2008;10;51;11
20/12/2008;11;56;10
20/12/2008;12;62;6
20/12/2008;13;43;25
20/12/2008;14;31;37
20/12/2008;15;34;33
20/12/2008;16;37;33
20/12/2008;17;41;30
20/12/2008;18;42;29
20/12/2008;19;37;33
20/12/2008;20;39;31
20/12/2008;21;33;37
20/12/2008;22;28;39
20/12/2008;23;25;41
20/12/2008;24;27;37
21/12/2008;1;26;38
21/12/2008;2;26;37
21/12/2008;3;25;39
21/12/2008;4;21;45
21/12/2008;5;19;44
21/12/2008;6;23;42
21/12/2008;7;29;38
21/12/2008;8;27;43
21/12/2008;9;25;48
21/12/2008;10;29;41
21/12/2008;11;35;35
21/12/2008;12;35;35
21/12/2008;13;29;43
21/12/2008;14;33;40
21/12/2008;15;36;38
21/12/2008;16;36;37
21/12/2008;17;43;32
21/12/2008;18;47;27
21/12/2008;19;55;20
