date;heure;NO2;O3
;;microg/m3;microg/m3
29/04/2008;20;24;63
29/04/2008;21;19;72
29/04/2008;22;16;74
29/04/2008;23;13;77
29/04/2008;24;10;93
30/04/2008;1;11;104
30/04/2008;2;11;111
30/04/2008;3;14;115
30/04/2008;4;15;110
30/04/2008;5;23;97
30/04/2008;6;36;81
30/04/2008;7;37;73
30/04/2008;8;37;66
30/04/2008;9;38;60
30/04/2008;10;27;73
30/04/2008;11;24;72
30/04/2008;12;17;81
30/04/2008;13;17;83
30/04/2008;14;17;82
30/04/2008;15;25;79
30/04/2008;16;23;81
30/04/2008;17;24;80
30/04/2008;18;21;84
30/04/2008;19;38;64
30/04/2008;20;45;53
30/04/2008;21;51;42
30/04/2008;22;37;50
30/04/2008;23;34;51
30/04/2008;24;28;52
01/05/2008;1;18;58
01/05/2008;2;12;62
01/05/2008;3;14;56
01/05/2008;4;17;51
01/05/2008;5;19;49
01/05/2008;6;15;57
01/05/2008;7;14;60
01/05/2008;8;15;61
01/05/2008;9;12;67
01/05/2008;10;11;72
01/05/2008;11;12;76
01/05/2008;12;11;78
01/05/2008;13;11;79
01/05/2008;14;13;73
01/05/2008;15;15;74
01/05/2008;16;12;74
01/05/2008;17;14;72
01/05/2008;18;17;69
01/05/2008;19;19;65
01/05/2008;20;30;48
01/05/2008;21;38;35
01/05/2008;22;38;34
01/05/2008;23;41;32
01/05/2008;24;38;37
02/05/2008;1;47;24
02/05/2008;2;46;21
02/05/2008;3;52;19
02/05/2008;4;67;1
02/05/2008;5;69;0
02/05/2008;6;58;2
02/05/2008;7;53;6
02/05/2008;8;50;15
02/05/2008;9;45;31
02/05/2008;10;21;68
02/05/2008;11;14;78
02/05/2008;12;10;84
02/05/2008;13;12;85
02/05/2008;14;13;89
02/05/2008;15;15;89
02/05/2008;16;18;86
02/05/2008;17;18;87
02/05/2008;18;23;82
02/05/2008;19;43;58
02/05/2008;20;63;40
02/05/2008;21;70;28
02/05/2008;22;61;35
02/05/2008;23;59;31
02/05/2008;24;63;28
03/05/2008;1;35;50
03/05/2008;2;44;43
03/05/2008;3;35;46
03/05/2008;4;35;39
03/05/2008;5;40;31
03/05/2008;6;40;31
03/05/2008;7;34;36
03/05/2008;8;34;37
03/05/2008;9;34;48
03/05/2008;10;19;78
03/05/2008;11;11;94
03/05/2008;12;11;98
03/05/2008;13;11;103
03/05/2008;14;10;109
03/05/2008;15;10;111
03/05/2008;16;10;115
03/05/2008;17;13;111
03/05/2008;18;16;105
03/05/2008;19;33;84
03/05/2008;20;46;67
03/05/2008;21;30;71
03/05/2008;22;41;55
03/05/2008;23;47;47
03/05/2008;24;50;47
04/05/2008;1;31;68
04/05/2008;2;34;63
04/05/2008;3;52;36
04/05/2008;4;26;66
04/05/2008;5;20;67
04/05/2008;6;25;58
04/05/2008;7;21;60
04/05/2008;8;28;57
04/05/2008;9;28;65
04/05/2008;10;23;81
04/05/2008;11;16;100
04/05/2008;12;11;117
04/05/2008;13;10;124
04/05/2008;14;8;129
04/05/2008;15;10;126
04/05/2008;16;11;125
04/05/2008;17;12;123
04/05/2008;18;14;120
04/05/2008;19;16;113
04/05/2008;20;21;103
04/05/2008;21;25;95
04/05/2008;22;27;90
04/05/2008;23;42;79
04/05/2008;24;30;91
05/05/2008;1;32;87
05/05/2008;2;21;95
05/05/2008;3;21;83
05/05/2008;4;28;68
05/05/2008;5;61;34
05/05/2008;6;80;26
05/05/2008;7;56;49
05/05/2008;8;56;52
05/05/2008;9;44;69
05/05/2008;10;29;83
05/05/2008;11;19;99
05/05/2008;12;16;112
05/05/2008;13;15;119
05/05/2008;14;n/d;n/d
05/05/2008;15;15;n/d
05/05/2008;16;18;123
05/05/2008;17;19;123
05/05/2008;18;19;120
05/05/2008;19;19;116
05/05/2008;20;28;104
05/05/2008;21;31;96
05/05/2008;22;29;96
05/05/2008;23;21;102
05/05/2008;24;19;94
06/05/2008;1;17;90
06/05/2008;2;13;90
06/05/2008;3;16;78
06/05/2008;4;27;62
06/05/2008;5;36;48
06/05/2008;6;48;38
06/05/2008;7;45;44
06/05/2008;8;34;54
06/05/2008;9;28;61
06/05/2008;10;25;70
06/05/2008;11;20;92
06/05/2008;12;17;104
06/05/2008;13;16;120
06/05/2008;14;17;119
06/05/2008;15;19;118
06/05/2008;16;18;119
06/05/2008;17;24;115
06/05/2008;18;25;114
06/05/2008;19;34;100
06/05/2008;20;51;78
06/05/2008;21;40;83
06/05/2008;22;36;82
06/05/2008;23;40;73
06/05/2008;24;37;77
07/05/2008;1;31;80
07/05/2008;2;21;85
07/05/2008;3;41;56
07/05/2008;4;55;40
07/05/2008;5;82;14
07/05/2008;6;94;10
07/05/2008;7;72;31
07/05/2008;8;77;31
07/05/2008;9;78;35
07/05/2008;10;63;54
07/05/2008;11;34;95
07/05/2008;12;22;119
07/05/2008;13;19;135
07/05/2008;14;21;132
07/05/2008;15;18;136
07/05/2008;16;22;132
07/05/2008;17;22;124
07/05/2008;18;27;117
07/05/2008;19;30;111
07/05/2008;20;32;98
07/05/2008;21;40;78
07/05/2008;22;35;79
07/05/2008;23;34;80
07/05/2008;24;31;85
08/05/2008;1;32;86
08/05/2008;2;25;92
08/05/2008;3;22;87
08/05/2008;4;26;79
08/05/2008;5;26;74
08/05/2008;6;37;61
08/05/2008;7;23;78
08/05/2008;8;19;80
08/05/2008;9;18;86
08/05/2008;10;17;95
08/05/2008;11;16;113
08/05/2008;12;13;128
08/05/2008;13;12;129
08/05/2008;14;11;131
08/05/2008;15;13;130
08/05/2008;16;12;131
08/05/2008;17;18;125
08/05/2008;18;23;118
08/05/2008;19;27;114
08/05/2008;20;31;104
08/05/2008;21;34;94
08/05/2008;22;24;97
08/05/2008;23;27;82
08/05/2008;24;31;73
09/05/2008;1;23;76
09/05/2008;2;25;68
09/05/2008;3;30;66
09/05/2008;4;27;70
09/05/2008;5;54;46
09/05/2008;6;59;44
09/05/2008;7;54;51
09/05/2008;8;33;69
09/05/2008;9;32;70
09/05/2008;10;30;78
09/05/2008;11;24;97
09/05/2008;12;22;108
09/05/2008;13;19;111
09/05/2008;14;19;115
09/05/2008;15;26;102
09/05/2008;16;32;89
09/05/2008;17;34;87
09/05/2008;18;34;84
09/05/2008;19;52;68
09/05/2008;20;60;57
09/05/2008;21;76;39
09/05/2008;22;106;12
09/05/2008;23;78;38
09/05/2008;24;70;38
10/05/2008;1;81;22
10/05/2008;2;52;50
10/05/2008;3;32;70
10/05/2008;4;32;62
10/05/2008;5;38;57
10/05/2008;6;41;56
10/05/2008;7;34;67
10/05/2008;8;33;67
10/05/2008;9;38;68
10/05/2008;10;32;87
10/05/2008;11;21;115
10/05/2008;12;17;128
10/05/2008;13;14;134
10/05/2008;14;14;124
10/05/2008;15;12;125
10/05/2008;16;13;133
10/05/2008;17;13;129
10/05/2008;18;17;125
10/05/2008;19;23;113
10/05/2008;20;33;97
10/05/2008;21;44;83
10/05/2008;22;37;86
10/05/2008;23;34;86
10/05/2008;24;32;85
11/05/2008;1;25;93
11/05/2008;2;15;98
11/05/2008;3;12;95
11/05/2008;4;13;87
11/05/2008;5;15;80
11/05/2008;6;16;76
11/05/2008;7;14;79
11/05/2008;8;14;80
11/05/2008;9;13;85
11/05/2008;10;13;96
11/05/2008;11;11;114
11/05/2008;12;9;121
11/05/2008;13;9;124
11/05/2008;14;10;124
11/05/2008;15;9;120
11/05/2008;16;10;113
11/05/2008;17;10;113
11/05/2008;18;9;112
11/05/2008;19;11;111
11/05/2008;20;24;93
11/05/2008;21;45;72
11/05/2008;22;38;73
11/05/2008;23;47;59
11/05/2008;24;62;40
12/05/2008;1;67;37
12/05/2008;2;37;66
12/05/2008;3;24;73
12/05/2008;4;21;72
12/05/2008;5;29;59
12/05/2008;6;36;55
12/05/2008;7;38;54
12/05/2008;8;29;69
12/05/2008;9;18;84
12/05/2008;10;16;97
12/05/2008;11;13;110
12/05/2008;12;11;121
12/05/2008;13;11;123
12/05/2008;14;10;123
12/05/2008;15;13;121
12/05/2008;16;11;124
